Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
DDD,3D Systems Corporation,6.86,$815.5M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd,
MMM,3M Company,159.83,$91.93B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,3.33,$143.19M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai,
WUBA,58.com Inc.,55.35,$8.3B,2013,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/wuba,
EGHT,8x8 Inc,16.06,$1.67B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
AHC,A.H. Belo Corporation,1.78,$38.11M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc,
AOS,A.O Smith Corporation,50.53,$8.14B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos,
ATEN,"A10 Networks, Inc.",7.48,$574.36M,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten,
AIR,AAR Corp.,19.08,$669.72M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air,
AAN,"Aaron&#39;s,  Inc.",43.14,$2.92B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan,
ABB,ABB Ltd,24.76,$52.83B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,99.25,$175.56B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,100.83,$177.7B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,9.97,$621.89M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf,
AGD,Aberdeen Global Dynamic Dividend Fund,9.2,$115.46M,2006,n/a,n/a,https://old.nasdaq.com/symbol/agd,
AWP,Aberdeen Global Premier Properties Fund,4.7,$401.42M,2007,n/a,n/a,https://old.nasdaq.com/symbol/awp,
ACP,Aberdeen Income Credit Strategies Fund,9.81,$171.01M,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.65,$102.58M,1992,n/a,n/a,https://old.nasdaq.com/symbol/jeq,
AOD,Aberdeen Total Dynamic Dividend Fund,7.83,$825.52M,2007,n/a,n/a,https://old.nasdaq.com/symbol/aod,
ABM,ABM Industries Incorporated,36.09,$2.41B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm,
AKR,Acadia Realty Trust,12.07,$1.04B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr,
ACEL,"Accel Entertainment, Inc.",9.29,$728.13M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel,
ACN,Accenture plc,221.94,$141.33B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn,
ACCO,Acco Brands Corporation,6.67,$630.06M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco,
ATV,"Acorn International, Inc.",16.91,$43.64M,2007,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv,
AYI,"Acuity Brands, Inc. ",100.12,$3.97B,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi,
GOLF,Acushnet Holdings Corp.,36.11,$2.68B,2016,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf,
ADX,"Adams Diversified Equity Fund, Inc.",15.57,$1.69B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/adx,
PEO,"Adams Natural Resources Fund, Inc.",11.52,$343.04M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/peo,
ADCT,ADC Therapeutics SA,49,$3.47B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adct,
AGRO,Adecoagro S.A.,4.23,$494.04M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro,
ADNT,Adient plc,17.79,$1.67B,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt,
ADT,ADT Inc.,8.18,$6.3B,2018,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt,
ATGE,Adtalem Global Education Inc.,35.21,$1.82B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge,
AAP,Advance Auto Parts Inc,144.86,$10.01B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap,
ADSW,"Advanced Disposal Services, Inc.",30.15,$2.72B,2016,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw,
WMS,"Advanced Drainage Systems, Inc.",48.96,$3.41B,2014,Capital Goods,Containers/Packaging,https://old.nasdaq.com/symbol/wms,
ASIX,AdvanSix Inc.,11.68,$327.09M,2016,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/asix,
AVK,Advent Convertible and Income Fund,13.67,$471.96M,2003,n/a,n/a,https://old.nasdaq.com/symbol/avk,
ACM,AECOM,37.77,$6.05B,2007,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm,
AEG,Aegon NV,3.13,$6.42B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg,
AER,Aercap Holdings N.V.,31.64,$4.1B,2006,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer,
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",38.11,$2.99B,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/ajrd,
AMG,"Affiliated Managers Group, Inc.",71,$3.35B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amg,
AFL,Aflac Incorporated,36.22,$25.99B,n/a,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl,
MITT,"AG Mortgage Investment Trust, Inc.",3.19,$104.71M,2011,n/a,n/a,https://old.nasdaq.com/symbol/mitt,
AGCO,AGCO Corporation,62.6,$4.69B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco,
A,"Agilent Technologies, Inc.",94.37,$29.14B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a,
AEM,Agnico Eagle Mines Limited,66.94,$16.09B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem,
ADC,Agree Realty Corporation,65.69,$3.54B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc,
AL,Air Lease Corporation,29.1,$3.31B,2011,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/al,
APD,"Air Products and Chemicals, Inc.",294,$64.93B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/apd,
ALG,"Alamo Group, Inc.",100.56,$1.19B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/alg,
AGI,Alamos Gold Inc.,10.4,$4.07B,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi,
ALK,"Alaska Air Group, Inc.",37,$4.54B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/alk,
AIN,Albany International Corporation,52.58,$1.7B,n/a,Basic Industries,Textiles,https://old.nasdaq.com/symbol/ain,
ALB,Albemarle Corporation,88.46,$9.4B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/alb,
ACI,"Albertsons Companies, Inc.",15.35,$7.35B,2020,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/aci,
AA,Alcoa Corporation,13.06,$2.43B,2016,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa,
ALC,Alcon Inc.,59.74,$29.17B,2019,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/alc,
ALEX,"Alexander & Baldwin, Inc.",12.29,$888.65M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alex,
ALX,"Alexander&#39;s, Inc.",246.54,$1.26B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alx,
ARE,"Alexandria Real Estate Equities, Inc.",166.75,$21.03B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/are,
AQN,Algonquin Power & Utilities Corp.,13.8,$7.28B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqn,
BABA,Alibaba Group Holding Limited,247.14,$668.43B,2014,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/baba,
Y,Alleghany Corporation,522.01,$7.47B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/y,
ATI,Allegheny Technologies Incorporated,9.78,$1.24B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/ati,
ALLE,Allegion plc,106.85,$9.85B,2013,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/alle,
ALE,"Allete, Inc.",60.1,$3.11B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ale,
ADS,Alliance Data Systems Corporation,42.51,$2.02B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads,
AFB,Alliance National Municipal Income Fund Inc,13.62,$391.51M,2002,n/a,n/a,https://old.nasdaq.com/symbol/afb,
AWF,Alliance World Dollar Government Fund II,10.33,$890.75M,1993,n/a,n/a,https://old.nasdaq.com/symbol/awf,
AB,AllianceBernstein Holding L.P.,28.26,$2.76B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab,
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,20.23,$694.36M,2019,n/a,n/a,https://old.nasdaq.com/symbol/aio,
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,8.9,$162.49M,2017,n/a,n/a,https://old.nasdaq.com/symbol/cbh,
NCV,AllianzGI Convertible & Income Fund,4.43,$400.35M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ncv,
NCZ,AllianzGI Convertible & Income Fund II,3.94,$299.9M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ncz,
ACV,AllianzGI Diversified Income & Convertible Fund,24.6,$254.71M,2015,n/a,n/a,https://old.nasdaq.com/symbol/acv,
NFJ,"AllianzGI Dividend, Interest & Premium Strategy Fu",11.71,$1.11B,2005,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/nfj,
NIE,AllianzGI Equity & Convertible Income Fund,23.61,$654.21M,2007,n/a,n/a,https://old.nasdaq.com/symbol/nie,
ALSN,"Allison Transmission Holdings, Inc.",36.95,$4.18B,2012,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/alsn,
ALL,Allstate Corporation (The),91.67,$28.8B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/all,
ALLY,Ally Financial Inc.,21.29,$7.94B,2014,Finance,Major Banks,https://old.nasdaq.com/symbol/ally,
PINE,"Alpine Income Property Trust, Inc.",14.72,$109.69M,2019,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pine,
ALTG,Alta Equipment Group Inc.,7.49,$221.04M,2019,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/altg,
AYX,"Alteryx, Inc.",161.81,$10.67B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ayx,
ATUS,"Altice USA, Inc.",24.29,$14.42B,2017,Consumer Services,Television Services,https://old.nasdaq.com/symbol/atus,
MO,Altria Group,41.54,$77.2B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/mo,
ACH,Aluminum Corporation of China Limited,6.06,$4.13B,2001,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach,
ALUS,Alussa Energy Acquisition Corp.,10.06,$361.53M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/alus,
AMBC,"Ambac Financial Group, Inc.",13.62,$623.51M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ambc,
ABEV,Ambev S.A.,2.61,$41.06B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev,
AMC,"AMC Entertainment Holdings, Inc.",4.27,$445.44M,2013,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/amc,
AMCR,Amcor plc,10.77,$16.96B,2019,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/amcr,
AEE,Ameren Corporation,78.74,$19.44B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee,
AMRC,"Ameresco, Inc.",29.66,$1.41B,2010,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/amrc,
AMOV,"America Movil, S.A.B. de C.V.",12.51,$54.13B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov,
AMX,"America Movil, S.A.B. de C.V.",12.76,$55.21B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amx,
AAT,"American Assets Trust, Inc.",26.37,$1.58B,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat,
AXL,"American Axle & Manufacturing Holdings, Inc.",7.17,$810.83M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/axl,
ACC,American Campus Communities Inc,34.18,$4.7B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc,
AEO,"American Eagle Outfitters, Inc.",10.88,$1.8B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo,
AEP,"American Electric Power Company, Inc.",87.51,$43.37B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep,
AEL,American Equity Investment Life Holding Company,25.66,$2.35B,2003,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael,
AXP,American Express Company,95.18,$76.62B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/axp,
AFG,"American Financial Group, Inc.",61.96,$5.57B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afg,
AFGC,"American Financial Group, Inc.",25.75,$25.7M,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgc,
AMH,American Homes 4 Rent,27.74,$8.35B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amh,
AIG,"American International Group, Inc.",32.12,$27.66B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/aig,
ARL,"American Realty Investors, Inc.",9.72,$155.49M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/arl,
ARA,"American Renal Associates Holdings, Inc",6.84,$230.78M,2016,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/ara,
AWR,American States Water Company,79.92,$2.95B,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awr,
AMT,American Tower Corporation (REIT),259.11,$114.87B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amt,
AVD,American Vanguard Corporation,13.73,$414.15M,n/a,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/avd,
AWK,American Water Works,141.22,$25.56B,2008,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awk,
COLD,Americold Realty Trust,37.55,$7.52B,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cold,
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",153.37,$18.76B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/amp,
ABC,AmerisourceBergen Corporation (Holding Co),104.45,$21.25B,n/a,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc,
RYCE,Amira Nature Foods Ltd,6.88,$13.88M,2012,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/ryce,
AMN,AMN Healthcare Services Inc,47.44,$2.23B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/amn,
AMRX,"Amneal Pharmaceuticals, Inc.",4.86,$1.46B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amrx,
AP,Ampco-Pittsburgh Corporation,3,$38.38M,n/a,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/ap,
APH,Amphenol Corporation,102.02,$30.19B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aph,
AXR,AMREP Corporation,4.6,$37.43M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/axr,
HKIB,AMTD International Inc.,6.6,$1.62B,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/hkib,
AME,"AMTEK, Inc.",92.95,$21.33B,n/a,Consumer Durables,Metal Fabrications,https://old.nasdaq.com/symbol/ame,
PLAN,"Anaplan, Inc.",44.4,$6.11B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/plan,
FINS,Angel Oak Financial Strategies Income Term Trust,16.47,$189.73M,2019,n/a,n/a,https://old.nasdaq.com/symbol/fins,
AU,AngloGold Ashanti Limited,32.37,$13.48B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/au,
BUD,Anheuser-Busch Inbev SA,53.85,$105.51B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/bud,
NLY,Annaly Capital Management Inc,7.02,$10.04B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nly,
AM,Antero Midstream Corporation,5.9,$2.81B,2017,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/am,
AR,Antero Resources Corporation,2.85,$764.91M,2013,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ar,
ANTM,"Anthem, Inc.",266.37,$67.16B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/antm,
ANH,Anworth Mortgage Asset  Corporation,1.78,$176.12M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/anh,
AON,Aon plc,203.66,$47.15B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/aon,
AIV,Apartment Investment and Management Company,37.18,$5.53B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aiv,
APG,APi Group Corporation,13.34,$2.26B,2020,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/apg,
ARI,Apollo Commercial Real Estate Finance,9.35,$1.44B,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ari,
APO,"Apollo Global Management, Inc",51.82,$11.86B,2011,Finance,Investment Managers,https://old.nasdaq.com/symbol/apo,
AFT,Apollo Senior Floating Rate Fund Inc.,12.36,$192.48M,2011,n/a,n/a,https://old.nasdaq.com/symbol/aft,
AIF,Apollo Tactical Income Fund Inc.,12.36,$178.78M,2013,n/a,n/a,https://old.nasdaq.com/symbol/aif,
APLE,"Apple Hospitality REIT, Inc.",8.88,$1.98B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aple,
ATR,"AptarGroup, Inc.",119.4,$7.66B,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/atr,
APTV,Aptiv PLC,81.78,$22.08B,2011,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/aptv,
ARMK,Aramark,23.13,$5.84B,2013,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/armk,
ABR,Arbor Realty Trust,8.64,$952.57M,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/abr,
ARC,"ARC Document Solutions, Inc.",1.24,$53.9M,2004,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/arc,
MT,ArcelorMittal,11.56,$12.64B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/mt,
ARCH,"Arch Resources, Inc.",28.64,$433.69M,2016,Energy,Coal Mining,https://old.nasdaq.com/symbol/arch,
ADM,Archer-Daniels-Midland Company,41.17,$22.87B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm,
AROC,"Archrock, Inc.",6.66,$1.02B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/aroc,
ARNC,Arconic Corporation,16.25,$1.77B,2020,n/a,n/a,https://old.nasdaq.com/symbol/arnc,
ARCO,Arcos Dorados Holdings Inc.,4.72,$963.21M,2011,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/arco,
ACA,"Arcosa, Inc.",42.85,$2.07B,2018,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/aca,
RCUS,"Arcus Biosciences, Inc.",24.47,$1.27B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/rcus,
ARD,Ardagh Group S.A.,13.42,$3.17B,2017,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/ard,
ASC,Ardmore Shipping Corporation,4,$132.9M,2013,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/asc,
ACRE,Ares Commercial Real Estate Corporation,8.7,$290.94M,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acre,
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",12.22,$280.02M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ardc,
ARES,Ares Management Corporation,40.59,$5.38B,2014,Finance,Investment Managers,https://old.nasdaq.com/symbol/ares,
AGX,"Argan, Inc.",47.34,$740.87M,n/a,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/agx,
ARGO,"Argo Group International Holdings, Ltd.",34.21,$1.19B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/argo,
ANET,"Arista Networks, Inc.",219.57,$16.62B,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/anet,
AI,Arlington Asset Investment Corp,3.03,$111.55M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ai,
ARLO,"Arlo Technologies, Inc.",2.84,$221.6M,2018,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/arlo,
AHH,"Armada Hoffler Properties, Inc.",9.64,$749.65M,2013,Finance,Real Estate,https://old.nasdaq.com/symbol/ahh,
ARR,"ARMOUR Residential REIT, Inc.",9.44,$609.69M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/arr,
AFI,"Armstrong Flooring, Inc.",3.27,$70.61M,2016,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/afi,
AWI,Armstrong World Industries Inc,78.51,$3.84B,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/awi,
ARW,"Arrow Electronics, Inc.",68.04,$5.35B,n/a,Technology,Electronic Components,https://old.nasdaq.com/symbol/arw,
AJG,Arthur J. Gallagher & Co.,103.55,$19.64B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/ajg,
APAM,Artisan Partners Asset Management Inc.,34.28,$2.69B,2013,Finance,Investment Managers,https://old.nasdaq.com/symbol/apam,
ASA,ASA Gold and Precious Metals Limited,19.58,$377.7M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/asa,
ABG,Asbury Automotive Group Inc,99.25,$1.91B,2002,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/abg,
ASX,"ASE Technology Holding Co., Ltd.",4.62,$9.84B,2018,Technology,Semiconductors,https://old.nasdaq.com/symbol/asx,
ASGN,ASGN Incorporated,67.65,$3.55B,1992,Technology,Professional Services,https://old.nasdaq.com/symbol/asgn,
AHT,Ashford Hospitality Trust Inc,6.93,$729.46M,2003,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aht,
ASH,Ashland Global Holdings Inc.,76.5,$4.62B,n/a,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/ash,
ASPN,"Aspen Aerogels, Inc.",6.51,$173.13M,2014,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/aspn,
AMK,"AssetMark Financial Holdings, Inc.",28.2,$2.04B,2019,Finance,Investment Managers,https://old.nasdaq.com/symbol/amk,
ASB,Associated Banc-Corp,12.66,$1.95B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/asb,
AC,"Associated Capital Group, Inc.",37.76,$845.35M,2015,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ac,
AIZ,"Assurant, Inc.",104.17,$6.21B,2004,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/aiz,
AGO,Assured Guaranty Ltd.,23.13,$2.01B,2004,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ago,
AZN,Astrazeneca PLC,61.1,$160.36B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/azn,
HOME,At Home Group Inc.,6.53,$419.15M,2016,Consumer Services,Home Furnishings,https://old.nasdaq.com/symbol/home,
T,AT&T Inc.,30.25,$215.53B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/t,
ATTO,Atento S.A.,1.46,$103.92M,2014,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/atto,
ATH,Athene Holding Ltd.,33.5,$6.51B,2016,Finance,Life Insurance,https://old.nasdaq.com/symbol/ath,
ATKR,Atkore International Group Inc.,27.55,$1.3B,2016,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/atkr,
AT,Atlantic Power Corporation,2.06,$189.88M,n/a,Energy,Electric Utilities: Central,https://old.nasdaq.com/symbol/at,
ATCO,Atlas Corp.,7.34,$1.81B,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/atco,
ATO,Atmos Energy Corporation,101.06,$12.36B,n/a,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/ato,
ACB,Aurora Cannabis Inc.,11.88,$1.34B,2018,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/acb,
ATHM,Autohome Inc.,86.29,$10.28B,2013,Technology,EDP Services,https://old.nasdaq.com/symbol/athm,
ALV,"Autoliv, Inc.",64.51,$5.63B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/alv,
AN,"AutoNation, Inc.",44.72,$3.9B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/an,
AZO,"AutoZone, Inc.",1157.3,$27.03B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/azo,
AVLR,"Avalara, Inc.",125.37,$9.83B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/avlr,
AVB,"AvalonBay Communities, Inc.",153.89,$21.66B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/avb,
AGR,"Avangrid, Inc.",48.15,$14.88B,2015,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/agr,
AVNS,"Avanos Medical, Inc.",33.19,$1.59B,2014,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/avns,
AVTR,"Avantor, Inc.",18.75,$10.79B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/avtr,
AVYA,Avaya Holdings Corp.,12.32,$1.02B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/avya,
AVY,Avery Dennison Corporation,121.26,$10.11B,n/a,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/avy,
AVNT,Avient Corporation,26.16,$2.39B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/avnt,
AVA,Avista Corporation,37.26,$2.51B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ava,
